time[sec] pos_L_1[m] pos_L_2[m] pos_L_3[m] phi[deg] theta[deg] psi[deg] thrust[N] 
0.0000000000000000e+000 -2.3304025376091886e-011 3.9999999999909456e+001 3.7472247527148284e-011 -0.0000000000000000e+000 9.9999999999999929e+000 -1.5902773407317578e-015 5.3826999999999998e+002 
0.0000000000000000e+000 -2.3304025376091886e-011 3.9999999999909456e+001 3.7472247527148284e-011 -0.0000000000000000e+000 9.9999999999999929e+000 -1.5902773407317578e-015 5.3826999999999998e+002 
5.0000000000000001e-003 -2.3304025376091886e-011 3.9999999999909456e+001 3.7472247527148284e-011 -9.6928602064355399e-006 1.0000000000000323e+001 3.8923465903947908e-006 5.3780851165980789e+002 
7.4999999999999997e-003 1.6408361079545718e-003 4.0000000000062762e+001 2.8932378935933654e-004 -9.6928602000744258e-006 1.0000000000000323e+001 3.8923465903947908e-006 5.3757776748971196e+002 
1.0000000000000000e-002 4.3744260888706841e-003 3.9999999999890356e+001 7.7132920920826948e-004 -9.6928602064355366e-006 1.0000000000000332e+001 3.8923465856239591e-006 5.3734702331961591e+002 
1.2500000000000001e-002 8.2009586181577779e-003 3.9999999999855895e+001 1.4460505911502086e-003 -9.6928602127966456e-006 1.0000000000000330e+001 3.8923465888045136e-006 5.3711627914951987e+002 
1.4999999999999999e-002 1.3120117733911110e-002 3.9999999999156934e+001 2.3134307810521726e-003 -9.6928602096160928e-006 1.0000000000000325e+001 3.8923465872142363e-006 5.3688553497942382e+002 
1.7500000000000002e-002 1.9131650357736400e-002 3.9999999998941526e+001 3.3734261393203648e-003 -9.6928602000744275e-006 1.0000000000000332e+001 3.8923465888045136e-006 5.3665479080932778e+002 
2.0000000000000000e-002 2.6235302754102876e-002 3.9999999998532090e+001 4.6259914378056124e-003 -9.6928602127966439e-006 1.0000000000000323e+001 3.8923465903947908e-006 5.3642404663923185e+002 
2.2499999999999999e-002 3.4430821713755624e-002 3.9999999998163858e+001 6.0710823655938315e-003 -9.6928602096160928e-006 1.0000000000000329e+001 3.8923465919850689e-006 5.3619330246913580e+002 
2.5000000000000001e-002 4.3717953492100878e-002 3.9999999997689137e+001 7.7086545908335059e-003 -9.6928602032549804e-006 1.0000000000000322e+001 3.8923465903947908e-006 5.3596255829903976e+002 
2.7500000000000000e-002 5.4096445028877456e-002 3.9999999997196213e+001 9.5386626813390822e-003 -9.6928602032549804e-006 1.0000000000000330e+001 3.8923465888045136e-006 5.3573181412894371e+002 
2.9999999999999999e-002 6.5566042184056816e-002 3.9999999996537376e+001 1.1561062059328255e-002 -9.6928602032549804e-006 1.0000000000000329e+001 3.8923465903947908e-006 5.3550106995884767e+002 
3.2500000000000001e-002 7.8126491352972366e-002 3.9999999995947874e+001 1.3775808167963255e-002 -9.6928602000744309e-006 1.0000000000000327e+001 3.8923465903947908e-006 5.3527032578875173e+002 
