#Header,Sender ID,Target ID,MSG Counter,Time, Object X,Object Y,Object Z,Object Roll,Object Pitch,Object Yaw,Smoke,Object Model,spare,CheckSum
AA55,1,2,11,0.0000,-2.33E-11,4.00E+01,3.75E-11,0.00E+00,1.00E+01,-1.59E-15,1,0,0,FF
AA55,1,2,15,0.0100,4.37E-03,4.00E+01,7.71E-04,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF
AA55,1,2,19,0.0200,2.62E-02,4.00E+01,4.63E-03,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,27,0.0400,1.22E-01,4.00E+01,2.16E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,31,0.0500,1.97E-01,4.00E+01,3.47E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,39,0.0700,3.97E-01,4.00E+01,7.00E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,43,0.0800,5.24E-01,4.00E+01,9.23E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,51,0.1000,8.29E-01,4.00E+01,1.46E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,63,0.1300,1.42E+00,4.00E+01,2.50E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,67,0.1400,1.65E+00,4.00E+01,2.90E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF
AA55,1,2,75,0.1600,2.16E+00,4.00E+01,3.79E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF
AA55,1,2,79,0.1700,2.44E+00,4.00E+01,4.27E-01,-1.88E-05,1.00E+01,7.32E-06,1,1,0,FF
AA55,1,2,91,0.2000,3.39E+00,4.00E+01,5.82E-01,-3.09E-04,1.00E+01,7.91E-05,1,1,0,FF
AA55,1,2,103,0.2300,4.50E+00,4.00E+01,7.56E-01,-1.77E-03,9.99E+00,3.49E-04,1,1,0,FF
AA55,1,2,115,0.2600,5.76E+00,4.00E+01,9.49E-01,-5.31E-03,9.97E+00,8.91E-04,1,1,0,FF
AA55,1,2,119,0.2700,6.22E+00,4.00E+01,1.02E+00,-7.51E-03,9.96E+00,1.20E-03,1,0,0,FF
AA55,1,2,123,0.2800,6.69E+00,4.00E+01,1.09E+00,-1.02E-02,9.95E+00,1.57E-03,1,1,0,FF
AA55,1,2,139,0.3200,8.75E+00,4.00E+01,1.39E+00,-4.30E-02,9.86E+00,3.97E-03,1,0,0,FF
AA55,1,2,143,0.3300,9.31E+00,4.00E+01,1.47E+00,-1.17E-01,9.82E+00,4.98E-03,1,0,0,FF
AA55,1,2,147,0.3400,9.89E+00,4.00E+01,1.56E+00,-2.89E-01,9.79E+00,6.26E-03,1,1,0,FF
AA55,1,2,167,0.3900,1.30E+01,4.00E+01,2.00E+00,-3.93E+00,9.42E+00,1.77E-02,1,1,0,FF
AA55,1,2,171,0.4000,1.37E+01,4.00E+01,2.10E+00,-5.31E+00,9.31E+00,2.16E-02,1,1,0,FF
AA55,1,2,191,0.4500,1.73E+01,4.00E+01,2.60E+00,-1.56E+01,8.44E+00,7.08E-02,1,1,0,FF
AA55,1,2,195,0.4600,1.81E+01,4.00E+01,2.71E+00,-1.83E+01,8.22E+00,9.27E-02,1,0,0,FF
AA55,1,2,219,0.5200,2.31E+01,4.00E+01,3.37E+00,-3.46E+01,6.55E+00,3.95E-01,1,0,0,FF
AA55,1,2,223,0.5300,2.40E+01,4.00E+01,3.48E+00,-3.69E+01,6.23E+00,4.90E-01,1,1,0,FF
AA55,1,2,227,0.5400,2.49E+01,4.00E+01,3.60E+00,-3.89E+01,5.90E+00,6.05E-01,1,0,0,FF
AA55,1,2,231,0.5500,2.59E+01,4.00E+01,3.71E+00,-4.08E+01,5.56E+00,7.40E-01,1,0,0,FF
AA55,1,2,235,0.5600,2.68E+01,4.00E+01,3.83E+00,-4.25E+01,5.22E+00,8.96E-01,1,1,0,FF
AA55,1,2,267,0.6400,3.50E+01,4.00E+01,4.75E+00,-5.11E+01,2.67E+00,2.74E+00,1,1,0,FF
AA55,1,2,271,0.6500,3.61E+01,3.99E+01,4.87E+00,-5.17E+01,2.41E+00,3.00E+00,1,0,0,FF
AA55,1,2,275,0.6600,3.72E+01,3.99E+01,4.98E+00,-5.23E+01,2.18E+00,3.27E+00,1,0,0,FF
AA55,1,2,279,0.6700,3.83E+01,3.99E+01,5.09E+00,-5.28E+01,1.96E+00,3.53E+00,1,1,0,FF
AA55,1,2,283,0.6800,3.95E+01,3.99E+01,5.20E+00,-5.33E+01,1.76E+00,3.79E+00,1,0,0,FF
AA55,1,2,319,0.7700,5.05E+01,3.97E+01,6.11E+00,-5.87E+01,8.00E-01,5.66E+00,1,0,0,FF
AA55,1,2,323,0.7800,5.18E+01,3.96E+01,6.21E+00,-5.93E+01,7.61E-01,5.82E+00,1,1,0,FF
AA55,1,2,327,0.7900,5.31E+01,3.96E+01,6.30E+00,-5.99E+01,7.31E-01,5.98E+00,1,0,0,FF
AA55,1,2,331,0.8000,5.45E+01,3.95E+01,6.39E+00,-6.05E+01,7.06E-01,6.13E+00,1,0,0,FF
AA55,1,2,335,0.8100,5.58E+01,3.95E+01,6.48E+00,-6.11E+01,6.87E-01,6.28E+00,1,1,0,FF
AA55,1,2,371,0.9000,6.87E+01,3.88E+01,7.18E+00,-6.62E+01,5.23E-01,7.65E+00,1,0,0,FF
