#Header,Sender ID,Target ID,MSG Counter,Time, Object X,Object Y,Object Z,Object Roll,Object Pitch,Object Yaw,Smoke,Object Model,spare,CheckSum,,,
AA55,1,2,11,0.00E+00,-2.33E-11,4.00E+01,3.75E-11,0.00E+00,1.00E+01,-1.59E-15,1,0,0,FF,,,
AA55,1,2,12,2.50E-03,-2.33E-11,4.00E+01,3.75E-11,0.00E+00,1.00E+01,-1.59E-15,1,1,0,FF,,,
AA55,1,2,13,5.00E-03,-2.33E-11,4.00E+01,3.75E-11,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,14,7.50E-03,1.64E-03,4.00E+01,2.89E-04,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,15,1.00E-02,4.37E-03,4.00E+01,7.71E-04,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,16,1.25E-02,8.20E-03,4.00E+01,1.45E-03,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,17,1.50E-02,1.31E-02,4.00E+01,2.31E-03,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,18,1.75E-02,1.91E-02,4.00E+01,3.37E-03,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,19,2.00E-02,2.62E-02,4.00E+01,4.63E-03,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,20,2.25E-02,3.44E-02,4.00E+01,6.07E-03,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,21,2.50E-02,4.37E-02,4.00E+01,7.71E-03,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,22,2.75E-02,5.41E-02,4.00E+01,9.54E-03,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,23,3.00E-02,6.56E-02,4.00E+01,1.16E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,24,3.25E-02,7.81E-02,4.00E+01,1.38E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,25,3.50E-02,9.18E-02,4.00E+01,1.62E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,26,3.75E-02,1.07E-01,4.00E+01,1.88E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,27,4.00E-02,1.22E-01,4.00E+01,2.16E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,28,4.25E-02,1.39E-01,4.00E+01,2.46E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,29,4.50E-02,1.57E-01,4.00E+01,2.77E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,30,4.75E-02,1.76E-01,4.00E+01,3.11E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,31,5.00E-02,1.97E-01,4.00E+01,3.47E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,32,5.25E-02,2.18E-01,4.00E+01,3.84E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,33,5.50E-02,2.40E-01,4.00E+01,4.24E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,34,5.75E-02,2.64E-01,4.00E+01,4.65E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,35,6.00E-02,2.88E-01,4.00E+01,5.08E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,36,6.25E-02,3.14E-01,4.00E+01,5.53E-02,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,37,6.50E-02,3.41E-01,4.00E+01,6.01E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,38,6.75E-02,3.68E-01,4.00E+01,6.50E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,39,7.00E-02,3.97E-01,4.00E+01,7.00E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,40,7.25E-02,4.27E-01,4.00E+01,7.53E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,41,7.50E-02,4.58E-01,4.00E+01,8.08E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,42,7.75E-02,4.90E-01,4.00E+01,8.65E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,43,8.00E-02,5.24E-01,4.00E+01,9.23E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,44,8.25E-02,5.58E-01,4.00E+01,9.84E-02,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,45,8.50E-02,5.93E-01,4.00E+01,1.05E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,46,8.75E-02,6.30E-01,4.00E+01,1.11E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,47,9.00E-02,6.68E-01,4.00E+01,1.18E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,48,9.25E-02,7.06E-01,4.00E+01,1.25E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,49,9.50E-02,7.46E-01,4.00E+01,1.32E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,50,9.75E-02,7.87E-01,4.00E+01,1.39E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,51,1.00E-01,8.29E-01,4.00E+01,1.46E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,52,1.02E-01,8.72E-01,4.00E+01,1.54E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,53,1.05E-01,9.16E-01,4.00E+01,1.61E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,54,1.08E-01,9.61E-01,4.00E+01,1.69E-01,-9.69E-06,1.00E+01,3.89E-06,1,0,0,FF,,,
AA55,1,2,55,1.10E-01,1.01E+00,4.00E+01,1.78E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
AA55,1,2,56,1.13E-01,1.05E+00,4.00E+01,1.86E-01,-9.69E-06,1.00E+01,3.89E-06,1,1,0,FF,,,
