#Header,Sender ID,Target ID,MSG Counter,Time, Object X,Object Y,Object Z,Object Roll,Object Pitch,Object Yaw,Smoke,Object Model,spare,CheckSum
AA55,1,2,11,0.0000,40.000000,0.000000,0.000000,0.000000,10.000000,0.000000,1,0,0,FF
AA55,1,2,12,0.0010,40.000000,0.000000,0.000000,0.000000,10.000000,0.000000,1,0,0,FF
AA55,1,2,13,0.0050,40.000000,0.000000,0.000000,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,14,0.0075,40.000000,0.000289,0.001641,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,15,0.0100,40.000000,0.000771,0.004374,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,16,0.0125,40.000000,0.001446,0.008201,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,17,0.0150,40.000000,0.002313,0.013120,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,18,0.0175,40.000000,0.003373,0.019132,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,19,0.0200,40.000000,0.004626,0.026235,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,20,0.0225,40.000000,0.006071,0.034431,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,21,0.0250,40.000000,0.007709,0.043718,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,22,0.0275,40.000000,0.009539,0.054096,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,23,0.0300,40.000000,0.011561,0.065566,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,24,0.0325,40.000000,0.013776,0.078126,-0.000010,10.000000,0.000004,1,0,0,FF
AA55,1,2,25,0.0350,40.000000,0.016183,0.091778,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,26,0.0375,40.000000,0.018782,0.106519,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,27,0.0400,40.000000,0.021574,0.122350,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,28,0.0425,40.000000,0.024557,0.139272,-0.000010,10.000000,0.000004,1,1,0,FF
AA55,1,2,29,0.0450,40.000000,0.027733,0.157283,-0.000010,10.000000,0.000004,1,1,0,FF
