#Header,Sender ID,Target ID,MSG Counter,Time, Object X,Object Y,Object Z,Object Roll,Object Pitch,Object Yaw,Smoke,Object Model,spare,CheckSum
AA55,1,2,0,-101,0,50,0,0,2,0,1,0,0,FF
AA55,1,2,1,-91,0,30.87579587,-7.5012668,0,-0.712280915,-0.947190999,1,0,0,FF
AA55,1,2,2,-81,0,32.96837027,-6.704925202,0,-0.634457442,-0.844167224,1,0,0,FF
AA55,1,2,3,-71,0,35.06468804,-5.898242736,0,-0.556477426,-0.740773169,1,0,0,FF
AA55,1,2,4,-61,0,37.16381715,-5.082654366,0,-0.478360108,-0.637054187,1,0,0,FF
AA55,1,2,5,-51,0,39.26482598,-4.25960815,0,-0.400124762,-0.533055771,1,1,0,FF
AA55,1,2,6,-41,0,41.36678374,-3.430562668,0,-0.321790691,-0.42882354,1,1,0,FF
AA55,1,2,7,-31,0,43.46876084,-2.596984441,0,-0.243377222,-0.324403213,1,1,0,FF
AA55,1,2,8,-21,0,45.56982936,-1.760345337,0,-0.164903705,-0.219840592,1,1,0,FF
AA55,1,2,9,-11,0,47.6690634,-0.92211997,0,-0.086389499,-0.115181541,1,1,0,FF
AA55,1,2,10,-1,0,49.76553954,-0.0837831,0,-0.007853978,-0.010471968,1,0,0,FF
AA55,1,2,11,9,0.0018225,51.85833721,0.753192956,0,0.07068348,0.094242199,1,0,0,FF
AA55,1,2,12,19,0.0081225,53.94653912,1.587340918,0,0.149203499,0.198915027,1,0,0,FF
AA55,1,2,13,29,0.0189225,56.02923163,2.417201107,0,0.227686703,0.303500605,1,0,0,FF
AA55,1,2,14,39,0.0342225,58.10550518,3.241324005,0,0.30611373,0.407953058,1,0,0,FF
AA55,1,2,15,49,0.0540225,60.17445468,4.058272785,0,0.384465227,0.512226569,1,1,0,FF
AA55,1,2,16,59,0.0783225,62.23517989,4.866625814,0,0.462721864,0.6162754,1,1,0,FF
