#Header,Sender ID,Target ID,MSG Counter,Time, Object X,Object Y,Object Z,Object Roll,Object Pitch,Object Yaw,Smoke,Object Model,spare,CheckSum
AA55,1,2,0,-101,0,5,0,0,2,0,0,1,0,FF
AA55,1,2,1,-91,0,3.087579587,-0.75012668,0,-0.712280915,-0.947190999,0,0,0,FF
AA55,1,2,2,-81,0,3.296837027,-0.67049252,0,-0.634457442,-0.844167224,0,1,0,FF
AA55,1,2,3,-71,0,3.506468804,-0.589824274,0,-0.556477426,-0.740773169,0,0,0,FF
AA55,1,2,4,-61,0,3.716381715,-0.508265437,0,-0.478360108,-0.637054187,0,1,0,FF
AA55,1,2,5,-51,0,3.926482598,-0.425960815,0,-0.400124762,-0.533055771,0,0,0,FF
AA55,1,2,6,-41,0,4.136678374,-0.343056267,0,-0.321790691,-0.42882354,0,1,0,FF
AA55,1,2,7,-31,0,4.346876084,-0.259698444,0,-0.243377222,-0.324403213,0,0,0,FF
AA55,1,2,8,-21,0,4.556982936,-0.176034534,0,-0.164903705,-0.219840592,0,1,0,FF
AA55,1,2,9,-11,0,4.76690634,-0.092211997,0,-0.086389499,-0.115181541,0,0,0,FF
AA55,1,2,10,-1,0,4.976553954,-0.00837831,0,-0.007853978,-0.010471968,0,1,0,FF
AA55,1,2,11,9,0.0018225,5.185833721,0.075319296,0,0.07068348,0.094242199,0,0,0,FF
AA55,1,2,12,19,0.0081225,5.394653912,0.158734092,0,0.149203499,0.198915027,0,1,0,FF
AA55,1,2,13,29,0.0189225,5.602923163,0.241720111,0,0.227686703,0.303500605,0,0,0,FF
AA55,1,2,14,39,0.0342225,5.810550518,0.324132401,0,0.30611373,0.407953058,0,1,0,FF
AA55,1,2,15,49,0.0540225,6.017445468,0.405827279,0,0.384465227,0.512226569,0,0,0,FF
AA55,1,2,16,59,0.0783225,6.223517989,0.486662581,0,0.462721864,0.6162754,0,1,0,FF
AA55,1,2,17,69,0.1071225,6.428678584,0.566497913,0,0.540864331,0.720053913,0,0,0,FF
AA55,1,2,18,79,0.1404225,6.632838319,0.645194888,0,0.618873347,0.823516586,0,1,0,FF
AA55,1,2,19,89,0.1782225,6.835908862,0.722617371,0,0.696729666,0.926618038,0,0,0,FF
AA55,1,2,20,99,0.2205225,7.037802523,0.798631714,0,0.774414077,1.029313044,0,1,0,FF
AA55,1,2,21,109,0.2673225,7.23843229,0.873106985,0,0.851907413,1.131556559,0,0,0,FF
AA55,1,2,22,119,0.3186225,7.437711868,0.945915193,0,0.929190554,1.233303737,0,1,0,FF
AA55,1,2,23,129,0.3744225,7.635555714,1.016931512,0,1.006244431,1.334509947,0,0,0,FF
AA55,1,2,24,139,0.4347225,7.831879077,1.086034488,0,1.083050032,1.435130796,0,1,0,FF
AA55,1,2,25,149,0.4995225,8.026598031,1.153106253,0,1.159588407,1.53512215,0,0,0,FF
AA55,1,2,26,159,0.5688225,8.219629512,1.218032724,0,1.235840671,1.634440148,0,1,0,FF
AA55,1,2,27,169,0.6426225,8.410891354,1.280703794,0,1.311788009,1.733041227,0,0,0,FF
AA55,1,2,28,179,0.7209225,8.600302324,1.341013522,0,1.387411683,1.830882137,0,1,0,FF
AA55,1,2,29,189,0.8037225,8.787782155,1.398860311,0,1.462693035,1.927919961,0,0,0,FF
AA55,1,2,30,199,0.8910225,8.973251581,1.454147077,0,1.537613488,2.024112136,0,1,0,FF
AA55,1,2,31,209,0.9828225,9.156632372,1.506781414,0,1.612154559,2.119416469,0,0,0,FF
AA55,1,2,32,219,1.0791225,9.337847363,1.556675748,0,1.686297854,2.213791155,0,1,0,FF
AA55,1,2,33,229,1.1799225,9.516820491,1.603747479,0,1.760025081,2.3071948,0,0,0,FF
AA55,1,2,34,239,1.2852225,9.693476824,1.647919121,0,1.833318048,2.399586432,0,1,0,FF
AA55,1,2,35,249,1.3950225,9.867742591,1.689118428,0,1.906158671,2.490925527,0,0,0,FF
AA55,1,2,36,259,1.5093225,10.03954522,1.727278511,0,1.978528978,2.581172019,0,1,0,FF
AA55,1,2,37,269,1.6281225,10.20881335,1.762337945,0,2.050411113,2.670286324,0,0,0,FF
AA55,1,2,38,279,1.7514225,10.37547689,1.794240869,0,2.121787339,2.758229353,0,1,0,FF
AA55,1,2,39,289,1.8792225,10.53946703,1.822937073,0,2.192640046,2.844962532,0,0,0,FF
AA55,1,2,40,299,2.0115225,10.70071625,1.848382077,0,2.262951752,2.930447816,0,1,0,FF
AA55,1,2,41,309,2.1483225,10.85915839,1.870537196,0,2.332705109,3.014647708,0,0,0,FF
AA55,1,2,42,319,2.2896225,11.01472864,1.889369601,0,2.401882905,3.097525277,0,1,0,FF
AA55,1,2,43,329,2.4354225,11.1673636,1.904852364,0,2.470468073,3.179044169,0,0,0,FF
AA55,1,2,44,339,2.5857225,11.31700128,1.916964496,0,2.538443689,3.259168627,0,1,0,FF
AA55,1,2,45,349,2.7405225,11.46358112,1.925690969,0,2.605792983,3.337863505,0,0,0,FF
AA55,1,2,46,359,2.8998225,11.60704403,1.931022737,0,2.672499336,3.415094287,0,1,0,FF
AA55,1,2,47,369,3.0636225,11.74733243,1.932956737,0,2.73854629,3.490827095,0,0,0,FF
AA55,1,2,48,379,3.2319225,11.88439024,1.931495884,0,2.803917549,3.565028711,0,1,0,FF
AA55,1,2,49,389,3.4047225,12.0181629,1.926649058,0,2.868596983,3.637666588,0,0,0,FF
AA55,1,2,50,399,3.5820225,12.14859743,1.918431072,0,2.932568634,3.708708864,0,1,0,FF
AA55,1,2,51,409,3.7638225,12.27564242,1.906862639,0,2.995816717,3.778124377,0,0,0,FF
AA55,1,2,52,419,3.9501225,12.39924806,1.891970322,0,3.058325627,3.845882681,0,1,0,FF
AA55,1,2,53,429,4.1409225,12.51936615,1.87378648,0,3.120079941,3.911954053,0,0,0,FF
AA55,1,2,54,439,4.3362225,12.63595013,1.852349195,0,3.181064422,3.976309513,0,1,0,FF
AA55,1,2,55,449,4.5360225,12.74895509,1.827702199,0,3.241264023,4.038920832,0,0,0,FF
AA55,1,2,56,459,4.7403225,12.8583378,1.799894785,0,3.300663891,4.099760547,0,1,0,FF
AA55,1,2,57,469,4.9491225,12.96405671,1.76898171,0,3.359249369,4.158801971,0,0,0,FF
AA55,1,2,58,479,5.1624225,13.06607196,1.735023087,0,3.417006003,4.216019207,0,1,0,FF
AA55,1,2,59,489,5.3802225,13.16434542,1.698084272,0,3.473919542,4.271387158,0,0,0,FF
AA55,1,2,60,499,5.6025225,13.25884069,1.658235735,0,3.529975943,4.324881538,0,1,0,FF
AA55,1,2,61,509,5.8293225,13.34952312,1.615552933,0,3.585161375,4.376478881,0,0,0,FF
AA55,1,2,62,519,6.0606225,13.43635979,1.57011616,0,3.639462222,4.426156557,0,1,0,FF
AA55,1,2,63,529,6.2964225,13.51931957,1.522010403,0,3.692865087,4.473892773,0,0,0,FF
AA55,1,2,64,539,6.5367225,13.5983731,1.471325181,0,3.745356792,4.519666593,0,1,0,FF
AA55,1,2,65,549,6.7815225,13.67349281,1.418154379,0,3.796924386,4.563457937,0,0,0,FF
AA55,1,2,66,559,7.0308225,13.74465292,1.362596073,0,3.847555147,4.605247598,0,1,0,FF
AA55,1,2,67,569,7.2846225,13.81182946,1.304752356,0,3.89723658,4.645017245,0,0,0,FF
AA55,1,2,68,579,7.5429225,13.87500028,1.24472914,0,3.945956429,4.682749434,0,1,0,FF
AA55,1,2,69,589,7.8057225,13.93414502,1.182635973,0,3.993702672,4.718427614,0,0,0,FF
AA55,1,2,70,599,8.0730225,13.98924517,1.118585834,0,4.040463529,4.752036136,0,1,0,FF
