#X	 Y 	Z	 IS_LED
1	0.003333333	0.003333333	0
0.9	0.041666667	0.041666667	0
0.8	0.05	0.05	0
0.7	0.058333333	0.058333333	0
0.6	0.066666667	0.066666667	0
0.5	0.1	0.1	0
0.4	0.1	0.1	0
0.3	0.1	0.1	0
0.2	0.1	0.1	0
0.1	0.1	0.1	0
0	0.1	0.1	0
-0.1	0.1	0.1	0
-0.2	0.1	0.1	0
-0.3	0.1	0.1	0
-0.4	0.1	0.1	0
-0.5	0.1	0.1	0
-0.6	0.116666667	0.116666667	0
-0.7	0.2	0.2	0
-0.8	0.2	0.2	0
-0.9	0.2	0.2	0
-1	0.2	0.2	0
-1	0	0	1
-1	-0.2	-0.2	0
-0.9	-0.2	-0.2	0
-0.8	-0.2	-0.2	0
-0.7	-0.2	-0.2	0
-0.6	-0.2	-0.2	0
-0.5	-0.116666667	-0.116666667	0
-0.4	-0.1	-0.1	0
-0.3	-0.1	-0.1	0
-0.2	-0.1	-0.1	0
-0.1	-0.1	-0.1	0
0	-0.1	-0.1	0
0.1	-0.1	-0.1	0
0.2	-0.1	-0.1	0
0.3	-0.1	-0.1	0
0.4	-0.1	-0.1	0
0.5	-0.1	-0.1	0
0.6	-0.066666667	-0.066666667	0
0.7	-0.058333333	-0.058333333	0
0.8	-0.05	-0.05	0
0.9	-0.041666667	-0.041666667	0
1	-0.003333333	-0.003333333	0
